Regulator_complex,gene_ids,regulates_ids
RcsAB,b1951@b2217,G7103@G7104@G7105@G7106@G7107@EG10820@EG10319@EG10320@G6543@G6544@G6545@G6546@EG11926@EG11925@EG11924@EG11923
RcsB-BglJ,b2217@b4366,G6956@G6730@G6729@G6728@G6727@G6231@EG11707@G7577@G7566@G7026@EG10656@EG11992@EG10531@EG10114@EG10115@EG10116
IHF,b1712@b0912,G7039@EG11356@EG11355@G0-8785@G0-16690@G7347@G7348@EG12341@EG11897@EG10773@EG10772@EG10771@EG10325@G6543@G6544@G6545@G6546@G0-8910@EG12231@EG11390@EG10309@EG11672@EG11669@EG11670@EG11671@EG10326@G7679@EG10443@EG10442@EG10234@EG10233@EG10232@EG10954@EG10369@EG20098@EG10776@EG10777@EG10778@EG10779@EG10780@EG12189@EG11823@G6905@G6906@G6907@G6908@G6909@EG11378@G7596@EG11508@EG11942@EG11943@EG11448@EG12450@G7413@EG11535@G7855@G7860@G7859@G7858@EG12495@EG12494@G7856@G0-16700@EG11933@EG11369@EG11370@G7542@EG20080@G7543@G0-8601@G7544@G7545@EG12031@EG12358@G6476@G6477@G6478@G6479@EG11781@EG11945@EG11946@EG11947@EG11948@EG11949@EG11950@EG10735@EG10783@EG10782@EG10784@EG10734@EG10134@EG10135@EG10402@G0-17009@EG10979@EG10980@EG10981@EG10982@EG12424@EG10761@EG10427@EG10189@EG10190@EG10191@EG10649@EG10301@EG10483@EG10484@EG10485@EG10486@EG10487@G7414@EG10481@EG10480@EG10479@EG10478@EG10477@EG10476@EG10475@EG10474@EG11415@EG10389@EG10388@EG10386@G7624@G7626@G7627@EG11172@EG10991@EG10990@EG10989@EG12093@EG11773@EG12092@EG12091@EG12090@EG12089@EG12088@EG12087@EG11774@EG12086@EG12084@EG12083@EG12082@EG12628@EG12627@EG12626@EG12625@EG10248@EG10319@EG10320@EG10953@EG10617@EG11041@EG11391@EG11501@EG11972@EG11973@EG10044@EG10403@EG10404@EG11514@EG30063@EG10701@EG11258@EG10897@G7750@G7751@EG10311@EG10315@EG10314@EG10313@EG10310@EG11974@EG10308@EG10269@EG10672@G6708@G6719@G6718@G6717@G6716@G6715@G6714@G6713@G6712@G6711@G6710@G6709@EG10659@EG12278@G0-10641@G8221@EG10493@EG10496@EG10497@EG10501@EG11270@EG12281@EG12287@EG12286@EG12285@EG12284@EG12283@EG12282@EG12280@EG12279@EG10441@EG10440@EG10023@EG10022@EG10026@EG10399@EG10401@EG11311@EG10317@EG10671@EG10670@EG10653@EG10655@EG10654@EG10188@G0-17088@EG10642@EG10638@EG10639@EG10641@EG10640@EG11926@EG11925@EG11924@EG11923
FlhDC,b1892@b1891,EG11739@G7027@G370@G7028@G7035@G358@G359@G360@G361@G362@G363@G364@G365@G366@G6562@G369@G357@G0-9383@EG12663@EG12662@EG12661@G6359@G379@G378@G377@EG11656@EG11654@EG11347@EG11346@EG10841@EG11388@EG11389@EG12252@G6623@EG11781@EG11945@EG11946@EG11947@EG11948@EG11949@EG11950@EG10576@EG10594@EG10592@EG10593@G7039@EG11356@EG11355@EG11551@EG11552@EG12052@EG12053@EG12054@EG12055@EG12169@EG12057@EG12058@EG12059@EG12060@EG12061@EG12062@EG12064@EG12067@EG12143@EG12068@EG10322@EG10323@EG10324@EG11224@EG11975@EG11976@EG11977@EG10391@EG10392@EG10393@EG12081@EG11156@EG11155@EG11154@EG10825@G7418
HU,b4000@b0440,EG12144@EG12197@EG10617@EG11041@EG30063@EG11698@EG10363@EG10366@EG10362
CRP-Sxy,b3357@b0959,G6494
YefM-YoeB,b2017@b4539,EG12844@G0-9121
MazE-MazF,b2783@b2782,EG10572@EG11249@EG10571
RelB-RelE,b1564@b1563,EG11130@EG11131@EG10836
DinJ-YafQ,b0226@b0225,G6110@G6109@EG12179
HipAB,b1507@b1508,EG11249@EG10571@EG10835@EG10443@EG10442
HigBA,b3083@b3082,G7602@G7601
GadE-RcsB,b3512@b2217,EG12228@EG10090@EG11889@EG11890@EG10131@EG10132@EG12462@EG12243@EG50009